150万,单价15354元/平米,南向三房出售 户型方正 采光好,番禺人民医院宿舍 , | 3室1厅 | 97.7平米 | 南 | 简装 | 无电梯,高楼层(共9层)1995年建塔楼  -  ,1695人关注 / 共7次带看 / 3个月以前发布,
285万,单价36918元/平米,南国奥园 汉溪长隆 南北对流 花园中间安静两房,南国奥林匹克花园 , | 2室2厅 | 77.2平米 | 南 | 其他 | 无电梯,中楼层(共6层)2006年建板楼  -  ,4人关注 / 共7次带看 / 2个月以前发布,
200万,单价21599元/平米,大石华贵大厦 交通方便 格局方正 大三房,富丽家园华贵大厦 , | 3室2厅 | 92.6平米 | 南 | 简装 | 无电梯,低楼层(共9层)1995年建塔楼  -  ,12人关注 / 共0次带看 / 2个月以前发布,
232万,单价31008元/平米,满五唯一方正两房，视野开阔，安静舒适。,自在城市花园 , | 2室2厅 | 74.82平米 | 东 | 简装 | 有电梯,低楼层(共18层)2012年建塔楼  -  ,40人关注 / 共11次带看 / 2个月以前发布,
329万,单价28707元/平米,南北通透 中高楼层 视野宽阔！！,亚运城运动员村四区 , | 3室2厅 | 114.61平米 | 南 北 | 其他,中楼层(共11层)塔楼  -  ,17人关注 / 共14次带看 / 2个月以前发布,
145万,单价30527元/平米,此物业满五年 目前广东唯一 税负少 有二次装修 有钥匙,祈福新村绿怡居 , | 2室2厅 | 47.5平米 | 北 | 其他 | 无电梯,高楼层(共4层)1995年建板楼  -  ,17人关注 / 共17次带看 / 1个月以前发布,
158万,单价24497元/平米,吉祥楼 2室1厅 158万,吉祥楼 , | 2室1厅 | 64.5平米 | 东南 | 简装 | 无电梯,中楼层(共8层)1998年建塔楼  -  ,40人关注 / 共19次带看 / 1个月以前发布,
350万,单价23729元/平米,东怡新区 东雅园 配套成熟,东怡新区东雅园 , | 3室2厅 | 147.5平米 | 南 北 | 精装 | 无电梯,中楼层(共7层)2000年建塔楼  -  ,50人关注 / 共0次带看 / 一年前发布,
155万,单价21528元/平米,禺雅园 两房户型 南北通透,禺雅园 , | 2室2厅 | 72平米 | 南 | 其他,高楼层(共7层)塔楼  -  ,60人关注 / 共4次带看 / 4个月以前发布,
380万,单价30405元/平米,华南新城 实用三房 景观好望花园 满五年,华南新城 , | 3室2厅 | 124.98平米 | 东北 | 简装 | 有电梯,中楼层(共11层)2011年建塔楼  -  ,82人关注 / 共4次带看 / 4个月以前发布,
420万,单价27778元/平米,洛湖居 复式 保养新,芳华花园洛湖居 , | 5室2厅 | 151.2平米 | 北 | 简装 | 无电梯,高楼层(共7层)1999年建塔楼  -  ,309人关注 / 共0次带看 / 一年前发布,
330万,单价25830元/平米,华荟南景园 精致三房 装修保养好  望江单位,华荟南景园 , | 3室2厅 | 127.76平米 | 北 | 精装 | 有电梯,高楼层(共16层)2002年建塔楼  -  ,2人关注 / 共0次带看 / 6个月以前发布,
325万,单价25078元/平米,大三房，南向采光好,置业华逸大厦 , | 3室2厅 | 129.6平米 | 西南 | 其他 | 有电梯,高楼层(共16层)塔楼  -  ,47人关注 / 共0次带看 / 一年前发布,
170万,单价32137元/平米,可公积金 一楼带大花园 实用两房 免费停车位 翠怡居,祈福新村翠怡居 , | 2室2厅 | 52.9平米 | 北 | 精装 | 无电梯,低楼层(共5层)1995年建板楼  -  ,26人关注 / 共30次带看 / 3个月以前发布,
225万,单价23808元/平米,东华花园 中等楼层 南向无遮挡 通风和采光效果好,东华花园 , | 3室2厅 | 94.51平米 | 南 | 精装 | 无电梯,中楼层(共6层)2004年建板楼  -  ,57人关注 / 共31次带看 / 3个月以前发布,
395万,单价31325元/平米,祈福新村 实用四房 别墅 免增值税 税费低，,祈福新村A区 ,  | 独栋别墅 | 4室2厅 | 126.1平米 | 北 | 简装 | 无电梯,1层1995年建暂无数据  -  ,109人关注 / 共16次带看 / 3个月以前发布,
440万,单价35773元/平米,锦绣银湾三房，江景房，环境优美,锦绣银湾 , | 3室1厅 | 123平米 | 西 东北 | 精装 | 有电梯,低楼层(共28层)2007年建塔楼  -  ,10人关注 / 共8次带看 / 2个月以前发布,
315万,单价31029元/平米,朝向好  面向花园 诚心出售 有钥匙,自在城市花园 , | 3室2厅 | 101.52平米 | 南 | 其他 | 有电梯,低楼层(共18层)2012年建塔楼  -  ,11人关注 / 共0次带看 / 2个月以前发布,
120万,单价21979元/平米,鸿福花园 精致小两房  诚意出售,鸿福花园(番禺) , | 2室1厅 | 54.6平米 | 西南 | 简装 | 无电梯,中楼层(共8层)1996年建塔楼  -  ,80人关注 / 共20次带看 / 1个月以前发布,
408万,单价26753元/平米,满五唯一南北对流舒适五房双阳台+大露台,南国奥林匹克花园 , | 5室2厅 | 152.51平米 | 北 | 简装 | 无电梯,高楼层(共6层)2006年建板楼  -  ,9人关注 / 共0次带看 / 9天以前发布,
200万,单价27398元/平米,满五唯一，房产证不在银行，交易方便,美心翡翠明庭 , | 2室2厅 | 73平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)2003年建塔楼  -  ,9人关注 / 共2次带看 / 8天以前发布,
260万,单价33334元/平米,祈福新村山泉居 安静小区 实用两房,祈福新村山泉居 , | 2室2厅 | 78平米 | 南 | 其他 | 无电梯,中楼层(共6层)2004年建板楼  -  ,39人关注 / 共1次带看 / 一年前发布,
250万,单价33885元/平米,君华御府 复式三房 看房方便,君华香柏御府 , | 3室2厅 | 73.78平米 | 南 | 毛坯 | 有电梯,中楼层(共33层)塔楼  -  ,29人关注 / 共3次带看 / 一年前发布,
130万,单价16667元/平米,侨宫苑 2房1厅 厅直出阳台 采光通风,侨宫苑 , | 2室1厅 | 78平米 | 南 | 其他,高楼层(共8层)塔楼  -  ,336人关注 / 共2次带看 / 11个月以前发布,
135万,单价19824元/平米,侨宫苑 方正两居 小户型经济实用 环境好,侨宫苑 , | 2室1厅 | 68.1平米 | 北 | 简装 | 无电梯,中楼层(共8层)1996年建塔楼  -  ,167人关注 / 共1次带看 / 一年前发布,
212万,单价26418元/平米,番禺海伦堡花样年华三期 2室1厅 212万,番禺海伦堡花样年华三期 , | 2室1厅 | 80.25平米 | 西 | 简装 | 有电梯,高楼层(共18层)2005年建塔楼  -  ,19人关注 / 共14次带看 / 9天以前发布,
900万,单价38794元/平米,锦绣香江花园山水华府 实用四房 通透户型,锦绣香江花园山水华府 , | 4室2厅 | 232平米 | 南 | 简装 | 有电梯,低楼层(共18层)2004年建塔楼  -  ,22人关注 / 共0次带看 / 3个月以前发布,
270万,单价20813元/平米,东华花园 复式四房 满五年唯一免个税 带两个露台,东华花园 , | 4室2厅 | 129.73平米 | 北 | 简装 | 无电梯,高楼层(共6层)2004年建板楼  -  ,56人关注 / 共5次带看 / 30天以前发布,
700万,单价47006元/平米,广州雅居乐花园十年小雅 4室2厅 700万,广州雅居乐花园十年小雅 , | 4室2厅 | 148.92平米 | 东北 | 精装 | 有电梯,高楼层(共31层)2010年建塔楼  -  ,0人关注 / 共1次带看 / 28天以前发布,
268万,单价27550元/平米,新世纪花园低楼层3房，装修保养好.附带40㎡大露台。,新世纪花园 , | 3室2厅 | 97.28平米 | 南 | 简装 | 无电梯,中楼层(共5层)2001年建板楼  -  ,7人关注 / 共1次带看 / 22天以前发布,
235万,单价26614元/平米,正南向，望长隆动物园，森林碧波成顷，鸟语花香,金城花园 , | 3室2厅 | 88.3平米 | 南 | 其他 | 无电梯,中楼层(共8层)1999年建塔楼  -  ,5人关注 / 共2次带看 / 13天以前发布,
148万,单价23271元/平米,汇景大道 63方实用两房 位置安静 采光视野好,汇景大道 , | 2室2厅 | 63.6平米 | 北 | 精装 | 无电梯,高楼层(共6层)塔楼  -  ,11人关注 / 共0次带看 / 11天以前发布,
213万,单价22096元/平米,美心东苑，中楼层，南向望花园。,美心东苑 , | 3室2厅 | 96.4平米 | 南 | 简装 | 无电梯,中楼层(共7层)2004年建塔楼  -  ,6人关注 / 共0次带看 / 5天以前发布,
172万,单价26462元/平米,东怡新区东倩园 2室1厅 172万,东怡新区东倩园 , | 2室1厅 | 65平米 | 南 | 其他 | 无电梯,高楼层(共7层)2000年建塔楼  -  ,12人关注 / 共3次带看 / 2天以前发布,
190万,单价22865元/平米,怡居新村 带40方大平台 采光好 实用面积大,富丽家园怡居新村 , | 3室1厅 | 83.1平米 | 东南 | 简装 | 无电梯,低楼层(共7层)1995年建塔楼  -  ,1人关注 / 共0次带看 / 2天以前发布,
210万,单价22630元/平米,信联大厦 3室2厅 210万,信联大厦 , | 3室2厅 | 92.8平米 | 南 | 其他,中楼层(共8层)1997年建塔楼  -  ,23人关注 / 共4次带看 / 3个月以前发布,
150万,单价24864元/平米,庄士映蝶蓝湾二期精装实用两房.,庄士映蝶蓝湾二期 , | 2室1厅 | 60.33平米 | 西南 | 精装,中楼层(共17层)塔楼  -  ,33人关注 / 共16次带看 / 2个月以前发布,
180万,单价27907元/平米,丽江花园丽影楼 2室1厅 180万,丽江花园丽影楼 , | 2室1厅 | 64.5平米 | 东南 | 其他 | 有电梯,低楼层(共9层)1993年建塔楼  -  ,23人关注 / 共20次带看 / 2个月以前发布,
225万,单价25028元/平米,东华花园 方正三房两卫 证过五年 中楼层,东华花园 , | 3室2厅 | 89.9平米 | 北 | 简装 | 无电梯,中楼层(共6层)2004年建板楼  -  ,35人关注 / 共24次带看 / 1个月以前发布,
211万,单价31030元/平米,滨江绿园 2室2厅 211万,滨江绿园 , | 2室2厅 | 68平米 | 南 | 其他 | 有电梯,高楼层(共11层)2004年建塔楼  -  ,22人关注 / 共20次带看 / 1个月以前发布,
150万,单价28583元/平米,一楼带前后花园，近缤纷汇广场，近车站，配套设施好！,祈福新村C区 , | 2室2厅 | 52.48平米 | 北 | 精装 | 无电梯,低楼层(共4层)1995年建板楼  -  ,96人关注 / 共8次带看 / 1个月以前发布,
220万,单价33334元/平米,丽江花园星海洲 2室1厅 220万,丽江花园星海洲 , | 2室1厅 | 66平米 | 西南 | 精装 | 有电梯,中楼层(共25层)1999年建塔楼  -  ,8人关注 / 共20次带看 / 1个月以前发布,
136万,单价19210元/平米,繁华路 中层大两房 格局方正,繁华路 , | 2室2厅 | 70.8平米 | 南 | 简装,高楼层(共7层)板楼  -  ,222人关注 / 共0次带看 / 5个月以前发布,
335万,单价27917元/平米,东方白云花园  安静舒适,东方白云花园 , | 3室2厅 | 120平米 | 北 | 精装 | 无电梯,低楼层(共7层)2005年建塔楼  -  ,77人关注 / 共1次带看 / 一年前发布,
237万,单价28215元/平米,媒体村 电梯房 光线好 南向,亚运城媒体北村 , | 2室1厅 | 84平米 | 南 | 简装,高楼层(共18层)塔楼  -  ,48人关注 / 共15次带看 / 4个月以前发布,
260万,单价31105元/平米,海龙湾 电梯中层 南北对流 保养好,海龙湾 , | 2室1厅 | 83.59平米 | 南 北 | 简装 | 有电梯,低楼层(共11层)2004年建塔楼  -  ,27人关注 / 共0次带看 / 一年前发布,
200万,单价16836元/平米,户型方正 南向四房 南北对流,富华中路富源四街 , | 4室2厅 | 118.8平米 | 南 | 其他 | 无电梯,高楼层(共7层)1990年建塔楼  -  ,93人关注 / 共0次带看 / 5个月以前发布,
182万,单价19655元/平米,富丽家园 穗华楼 到地铁500米 楼层适中,富丽家园穗华楼 , | 3室1厅 | 92.6平米 | 西南 | 简装 | 无电梯,中楼层(共8层)1995年建塔楼  -  ,35人关注 / 共1次带看 / 5个月以前发布,
370万,单价34244元/平米,五年唯一 南向 位置安静 空气清新 可望山水,祈福新村倚云居 , | 3室2厅 | 108.05平米 | 南 | 其他 | 有电梯,高楼层(共23层)2004年建塔楼  -  ,8人关注 / 共8次带看 / 3个月以前发布,
370万,单价36461元/平米,广州奥林匹克花园 中层南向3房 户型方正 采光好 安静,广州奥林匹克花园 , | 3室2厅 | 101.48平米 | 南 | 简装 | 无电梯,中楼层(共6层)2002年建板楼  -  ,4人关注 / 共0次带看 / 16天以前发布,
630万,单价40497元/平米,星河湾悦心园，全新装修三房，南北对流,广州星河湾悦心园 , | 3室2厅 | 155.57平米 | 东南 西北 | 精装,中楼层(共15层)2001年建塔楼  -  ,3人关注 / 共0次带看 / 6天以前发布,
435万,单价34255元/平米,锦绣银湾 3室2厅 435万,锦绣银湾 , | 3室2厅 | 126.99平米 | 北 | 精装 | 有电梯,高楼层(共24层)2007年建塔楼  -  ,2人关注 / 共0次带看 / 5天以前发布,
260万,单价19742元/平米,大石香江大厦 视野宽阔 采光通风好,富丽家园香江商业大厦 , | 4室2厅 | 131.7平米 | 南 | 精装 | 无电梯,高楼层(共8层)1995年建塔楼  -  ,1人关注 / 共0次带看 / 4天以前发布,
315万,单价31189元/平米,丽江花园星海洲 3室2厅 315万,丽江花园星海洲 , | 3室2厅 | 101平米 | 东南 | 其他 | 有电梯,低楼层(共25层)1999年建塔楼  -  ,1人关注 / 共0次带看 / 4天以前发布,
375万,单价30936元/平米,祈福新村蝶舞轩  实用大四房  业主诚信出售,祈福新村蝶舞轩 , | 4室2厅 | 121.22平米 | 北 | 其他 | 无电梯,高楼层(共6层)2002年建板楼  -  ,0人关注 / 共0次带看 / 3天以前发布,
610万,单价43797元/平米,锦绣香江花园第8期 3室2厅 610万,锦绣香江花园第8期 , | 3室2厅 | 139.28平米 | 南 北 | 精装 | 有电梯,低楼层(共17层)2004年建塔楼  -  ,1人关注 / 共0次带看 / 2天以前发布,
320万,单价29907元/平米,广州碧桂园 户型方正 视野开阔,广州碧桂园翠苑 , | 3室2厅 | 107平米 | 东南 | 其他 | 无电梯,中楼层(共6层)1998年建塔楼  -  ,26人关注 / 共1次带看 / 5个月以前发布,
272万,单价31888元/平米,祈福新村活力花园 中层两房,祈福新村活力花园 , | 2室2厅 | 85.3平米 | 北 | 精装 | 有电梯,中楼层(共18层)2005年建塔楼  -  ,16人关注 / 共2次带看 / 6个月以前发布,
135万,单价22882元/平米,小户型可改两房。带阳台。适合居住,富丽家园莲芳园 , | 2室1厅 | 59平米 | 南 | 简装 | 无电梯,中楼层(共8层)1995年建塔楼  -  ,103人关注 / 共2次带看 / 3个月以前发布,
297万,单价31809元/平米,户型方正三房，配套齐，交通便利 国庆可,东瀚园 , | 3室2厅 | 93.37平米 | 西 | 简装 | 无电梯,中楼层(共9层)2003年建塔楼  -  ,15人关注 / 共2次带看 / 3个月以前发布,
205万,单价27968元/平米,广地花园  一期楼梯楼  精装修2房,广地花园 , | 2室2厅 | 73.3平米 | 南 | 精装 | 无电梯,中楼层(共7层)塔楼  -  ,28人关注 / 共11次带看 / 2个月以前发布,
375万,单价34691元/平米,门口地铁站，方正户型，采光好，精装修,新月明珠花园 , | 3室1厅 | 108.1平米 | 北 | 其他 | 有电梯,中楼层(共23层)2007年建塔楼  -  ,7人关注 / 共10次带看 / 1个月以前发布,
160万,单价19926元/平米,白沙路二街 中高楼层 采光通风佳,白沙路二街 , | 2室2厅 | 80.3平米 | 北 | 简装,中楼层(共8层)塔楼  -  ,30人关注 / 共5次带看 / 4个月以前发布,
175万,单价26081元/平米,祈福新村C区 新净实用三房 出入很方便,祈福新村C区 , | 3室2厅 | 67.1平米 | 南 | 精装 | 无电梯,中楼层(共4层)1995年建板楼  -  ,64人关注 / 共3次带看 / 3个月以前发布,
245万,单价24020元/平米,保利公馆北苑  带小花园   通风,保利公馆2010亚奥北苑 , | 3室2厅 | 102平米 | 南 | 毛坯 | 有电梯,低楼层(共9层)塔楼  -  ,13人关注 / 共1次带看 / 30天以前发布,
230万,单价34744元/平米,祈福新村湖景居 南向 业主少住 业主诚意出售230万,祈福新村湖景居 , | 2室2厅 | 66.2平米 | 东南 | 简装 | 无电梯,低楼层(共4层)1999年建板楼  -  ,1人关注 / 共2次带看 / 27天以前发布,
232万,单价29555元/平米,北丽园四街 实用大两房 非顶楼,德兴园 , | 2室1厅 | 78.5平米 | 南 | 简装 | 无电梯,高楼层(共7层)1998年建塔楼  -  ,2人关注 / 共4次带看 / 25天以前发布,
215万,单价23375元/平米,大石富丽广场 方正大两房 楼层适中 采光好 带平台,富丽家园富丽广场 , | 2室2厅 | 91.98平米 | 北 | 简装 | 无电梯,低楼层(共6层)2001年建塔楼  -  ,2人关注 / 共2次带看 / 20天以前发布,
120万,单价39358元/平米,雅居乐君域公馆 1室0厅 120万,雅居乐君域公馆 , | 1室0厅 | 30.49平米 | 北 | 其他 | 有电梯,低楼层(共31层)塔楼  -  ,7人关注 / 共5次带看 / 16天以前发布,
450万,单价29639元/平米,祈福新村天湖居 4室2厅 450万,祈福新村天湖居 , | 4室2厅 | 151.83平米 | 西北 | 其他 | 有电梯,高楼层(共19层)2003年建塔楼  -  ,5人关注 / 共2次带看 / 12天以前发布,
200万,单价19306元/平米,番艺花园 中间位三面采光 东南位,番艺花园 , | 3室2厅 | 103.6平米 | 南 | 简装,高楼层(共7层)塔楼  -  ,0人关注 / 共1次带看 / 7天以前发布,
280万,单价29883元/平米,东华花园  低楼层三房   装修保养好,东华花园 , | 3室2厅 | 93.7平米 | 北 | 精装 | 无电梯,低楼层(共6层)2004年建板楼  -  ,3人关注 / 共0次带看 / 6天以前发布,
175万,单价16204元/平米,荷景花园一区 3室2厅 175万,荷景花园一区 , | 3室2厅 | 108平米 | 南 | 其他 | 无电梯,低楼层(共7层)1995年建塔楼  -  ,1人关注 / 共0次带看 / 6天以前发布,
166万,单价23708元/平米,华侨城(番禺) 3室2厅 166万,华侨城(番禺) , | 3室2厅 | 70.02平米 | 南 | 简装 | 无电梯,低楼层(共8层)1994年建塔楼  -  ,7人关注 / 共0次带看 / 6天以前发布,
